Only one GPU available, models are split between GPU 0
loading pretrained CLIP visual encoder
0  warmup steps
770  total steps
1229.5  train batches
C:\Users\George\anaconda3\envs\CondaforDeepLearning\Lib\site-packages\transformers\models\llama\modeling_llama.py:602: UserWarning: 1Torch was not compiled with flash attention. (Triggered internally at ..\aten\src\ATen\native\transformers\cuda\sdp_utils.cpp:455.)
  attn_output = torch.nn.functional.scaled_dot_product_attention(
tensor(52.5234, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.6662, device='cuda:0', grad_fn=<DivBackward0>)
tensor(24.3875, device='cuda:0', grad_fn=<DivBackward0>)
tensor(143.3540, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.5437, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.6732, device='cuda:0', grad_fn=<DivBackward0>)
tensor(62.1229, device='cuda:0', grad_fn=<DivBackward0>)
tensor(36.9658, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.4880, device='cuda:0', grad_fn=<DivBackward0>)
tensor(288.0412, device='cuda:0', grad_fn=<DivBackward0>)
tensor(63.5217, device='cuda:0', grad_fn=<DivBackward0>)
tensor(57.3542, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.1986, device='cuda:0', grad_fn=<DivBackward0>)
tensor(84.4843, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.1040, device='cuda:0', grad_fn=<DivBackward0>)
tensor(73.8566, device='cuda:0', grad_fn=<DivBackward0>)
tensor(70.3697, device='cuda:0', grad_fn=<DivBackward0>)
tensor(38.7509, device='cuda:0', grad_fn=<DivBackward0>)
tensor(160.2949, device='cuda:0', grad_fn=<DivBackward0>)
tensor(25.8295, device='cuda:0', grad_fn=<DivBackward0>)
tensor(52.7701, device='cuda:0', grad_fn=<DivBackward0>)
tensor(52.8570, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.0163, device='cuda:0', grad_fn=<DivBackward0>)
tensor(51.1062, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.5893, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.4455, device='cuda:0', grad_fn=<DivBackward0>)
tensor(38.3615, device='cuda:0', grad_fn=<DivBackward0>)
tensor(127.7547, device='cuda:0', grad_fn=<DivBackward0>)
tensor(83.6061, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.8337, device='cuda:0', grad_fn=<DivBackward0>)
tensor(52.5391, device='cuda:0', grad_fn=<DivBackward0>)
tensor(61.0555, device='cuda:0', grad_fn=<DivBackward0>)
tensor(68.6544, device='cuda:0', grad_fn=<DivBackward0>)
tensor(57.8757, device='cuda:0', grad_fn=<DivBackward0>)
tensor(111.9695, device='cuda:0', grad_fn=<DivBackward0>)
tensor(38.2071, device='cuda:0', grad_fn=<DivBackward0>)
tensor(69.6848, device='cuda:0', grad_fn=<DivBackward0>)
tensor(127.0135, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.8428, device='cuda:0', grad_fn=<DivBackward0>)
tensor(64.1428, device='cuda:0', grad_fn=<DivBackward0>)
tensor(27.6900, device='cuda:0', grad_fn=<DivBackward0>)
tensor(25.3476, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.8824, device='cuda:0', grad_fn=<DivBackward0>)
tensor(91.8181, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.7905, device='cuda:0', grad_fn=<DivBackward0>)
tensor(86.0145, device='cuda:0', grad_fn=<DivBackward0>)
tensor(67.3020, device='cuda:0', grad_fn=<DivBackward0>)
tensor(65.9677, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.1259, device='cuda:0', grad_fn=<DivBackward0>)
tensor(96.6895, device='cuda:0', grad_fn=<DivBackward0>)
tensor(52.2916, device='cuda:0', grad_fn=<DivBackward0>)
tensor(68.1407, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.1136, device='cuda:0', grad_fn=<DivBackward0>)
tensor(69.9043, device='cuda:0', grad_fn=<DivBackward0>)
tensor(78.1663, device='cuda:0', grad_fn=<DivBackward0>)
tensor(72.6017, device='cuda:0', grad_fn=<DivBackward0>)
tensor(58.0638, device='cuda:0', grad_fn=<DivBackward0>)
tensor(44.2890, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.6587, device='cuda:0', grad_fn=<DivBackward0>)
tensor(41.4334, device='cuda:0', grad_fn=<DivBackward0>)
